id,ano,municipio,codigo_postal,total_fugas,tipo_de_fuga,fecha
396,2017,Algimia de Almonacid,12414,1,Acometida,19/7/2017
398,2017,Jérica,12450,1,Acometida,19/7/2017
400,2017,Xodos,12134,1,Llave de paso de la acometida,24/7/2017
406,2017,Alfondeguilla,12609,1,Acometida,26/7/2017
412,2017,La Torre d'En Besora,12161,1,Acometida,7/8/2017
413,2017,Torás,12431,1,Acometida,8/8/2017
415,2017,Caudiel,12440,1,Tubería general,9/8/2017
416,2017,Geldo,12412,1,Tubería general,10/8/2017
418,2017,Cinctorres,12318,1,Acometida,14/8/2017
420,2017,Jérica,12450,1,Acometida,16/8/2017
423,2017,Forcall,12310,1,Tubería general,17/8/2017
424,2017,Puebla de Arenoso,12428,1,Tubería general,21/8/2017
426,2017,Alquerías (Montanejos),12448,1,Llave de paso de la acometida,24/8/2017
427,2017,Alquerías (Montanejos),12448,1,Interior vivienda,24/8/2017
429,2017,Alfondeguilla,12609,1,Acometida,28/8/2017
432,2017,Algimia de Almonacid,12414,1,Acometida,11/9/2017
435,2017,Alfondeguilla,12609,1,Acometida,11/9/2017
436,2017,Lucena del Cid,12120,1,Acometida,12/9/2017
444,2017,Montanejos,12448,1,Acometida,18/9/2017
445,2017,Montanejos,12448,1,Acometida,18/9/2017
449,2017,Herbés,12317,1,Tubería general,25/9/2017
450,2017,Forcall,12310,1,Tubería general,26/9/2017
451,2017,Pobla de Benifassà,12599,1,Tubería general,27/9/2017
453,2017,Pobla de Benifassà,12599,1,Interior vivienda,27/9/2017
457,2017,Jérica,12450,1,Acometida,28/9/2017
458,2017,La Jana,12340,1,Tubería general,4/10/2017
459,2017,Castillo de Villamalefa,12123,0,,2/10/2017
463,2017,Benafer,12449,1,Interior vivienda,10/10/2017
466,2017,La Jana,12340,1,Tubería general,16/10/2017
467,2017,La Jana,12340,1,Acometida,16/10/2017
469,2017,Sacañet,12469,1,Acometida,18/10/2017
479,2017,Pobla de Benifassà,12599,1,Acometida,26/10/2017
480,2017,Sacañet,12469,1,Acometida,25/10/2017
484,2017,Los Calpes (Puebla de Arenoso),12428,1,Tubería general,2/11/2017
486,2017,Alfondeguilla,12609,1,Interior vivienda,8/11/2017
487,2017,Alfondeguilla,12609,1,Acometida,8/11/2017
488,2017,Pobla de Benifassà,12599,1,Acometida,9/11/2017
497,2017,Chóvar,12499,0,,21/11/2017
498,2017,La Torre d'En Besora,12161,1,Acometida,22/11/2017
505,2017,Portell de Morella,12318,1,Acometida,29/11/2017
507,2017,Artana,12527,1,Acometida,4/12/2017
513,2017,Herbés,12317,1,Llave de paso de la acometida,14/12/2017
515,2017,Montanejos,12448,1,Acometida,18/12/2017
516,2017,Montanejos,12448,1,Acometida,18/12/2017
520,2017,Sant Joan de Moró,12130,0,,21/12/2017
521,2017,Pina de Montalgrao,12429,1,Acometida,26/12/2017
525,2017,Geldo,12412,1,Interior vivienda,27/12/2017
531,2018,Algimia de Almonacid,12414,1,Tubería general,4/1/2018
535,2018,Cedraman,12123,1,Interior vivienda,10/1/2018
537,2018,Ayódar,12224,0,,15/1/2018
539,2018,Algimia de Almonacid,12414,1,Acometida,17/1/2018
548,2018,Pavías,12449,1,Boca de Riego,29/1/2018
553,2018,Vistabella del Maestrat,12135,1,Tubería general,14/2/2018
560,2018,Geldo,12412,0,,26/2/2018
562,2018,Cinctorres,12318,1,Acometida,28/2/2018
568,2018,Vistabella del Maestrat,12135,1,Llave de paso de la acometida,12/3/2018
570,2018,La Jana,12340,1,Acometida,13/3/2018
571,2018,Villahermosa del Río,12124,1,Acometida,20/3/2018
572,2018,Alfondeguilla,12609,1,Interior vivienda,21/3/2018
576,2018,Caudiel,12440,1,Interior vivienda,22/3/2018
577,2018,Jérica,12450,1,Tubería general,22/3/2018
578,2018,Soneja,12480,0,,27/3/2018
579,2018,La Torre d'En Besora,12161,1,Acometida,28/3/2018
581,2018,Lucena del Cid,12120,1,Tubería general,29/3/2018
584,2018,Ludiente,12123,1,Tubería general,4/4/2018
585,2018,Chóvar,12499,,,9/4/2018
587,2018,Portell de Morella,12318,1,Llave de paso de la acometida,10/4/2018
590,2018,Algimia de Almonacid,12414,1,Boca de Riego,11/4/2018
593,2018,Alfondeguilla,12609,1,Acometida,16/4/2018
594,2018,Vallat,12230,1,Interior vivienda,17/4/2018
598,2018,Gaibiel,12415,0,,24/4/2018
600,2018,Pobla de Benifassà,12599,1,Acometida,2/5/2018
602,2018,Caudiel,12440,1,Interior vivienda,7/5/2018
604,2018,Artana,12527,1,Acometida,9/5/2018
606,2018,Chóvar,12499,1,Acometida,10/5/2018
614,2018,Ballestar (Pobla de Benifassà),12599,1,Acometida,21/5/2018
616,2018,Chóvar,12499,1,Tubería general,22/5/2018
621,2018,La Torre d'En Besora,12161,1,Acometida,28/5/2018
622,2018,Torás,12431,1,Acometida,30/5/2018
631,2018,Artana,12527,1,Acometida,11/6/2018
632,2018,La Torre d'En Besora,12161,1,Tubería general,12/6/2018
634,2018,Castillo de Villamalefa,12123,1,Llave de paso de la acometida,25/6/2018
636,2018,Lucena del Cid,12120,0,,26/6/2018
638,2018,Pavías,12449,1,Acometida,2/7/2018
640,2018,Geldo,12412,1,Tubería general,2/7/2018
641,2018,Montanejos,12448,1,Acometida,3/7/2018
642,2018,Ballestar (Pobla de Benifassà),12599,1,Acometida,4/7/2018
643,2018,Ballestar (Pobla de Benifassà),12599,1,Tubería general,4/7/2018
645,2018,Diputación,12004,1,Acometida,4/7/2018
649,2018,Gaibiel,12415,1,Acometida,9/7/2018
650,2018,Eslida,12528,1,Acometida,9/7/2018
656,2018,Pavías,12449,1,Acometida,16/7/2018
657,2018,Eslida,12528,1,Tubería general,16/7/2018
669,2018,Caudiel,12440,1,Acometida,7/8/2018
673,2018,Jérica,12450,1,Acometida,8/8/2018
678,2018,Alfondeguilla,12609,1,Acometida,13/8/2018
679,2018,Alfondeguilla,12609,1,Acometida,13/8/2018
688,2018,Palanques,12311,1,Tubería general,29/8/2018
691,2018,Jérica,12450,1,Tubería general,3/9/2018
693,2018,Boixar (Pobla de Benifassà),12599,1,Llave de paso de la acometida,5/9/2018
